"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"74HC32D,652","Nexperia USA Inc.","1727-3786-ND","","","Tube","Active","6","0.35000","$2.10","1721","8 Weeks","IC GATE OR 4CH 2-INP 14-SO","RoHS Compliant","Lead free","REACH Unaffected"
"74HC151D,653","Nexperia USA Inc.","1727-7294-1-ND","","","Cut Tape (CT)","Active","4","0.42000","$1.68","4283","8 Weeks","IC MUX 8-INPUT 16SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"61300211121","Wurth Electronics Inc.","732-5315-ND","","","Bag","Active","1","0.13000","$0.13","82895","13 Weeks","CONN HEADER 2 POS 2.54","RoHS Compliant","Lead free","REACH Unaffected"
"SBH11-PBPC-D13-ST-BK","Sullins Connector Solutions","S9173-ND","","","Tray","Active","1","0.66000","$0.66","9694","4 Weeks","CONN HEADER 2.54MM 26POS GOLD","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-0768KL","Yageo","311-68.0KFRCT-ND","","","Cut Tape (CT)","Active","24","0.03300","$0.79","3982","23 Weeks","RES SMD 68K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"PPTC121LFBN-RC","Sullins Connector Solutions","S6100-ND","","","Tray","Active","4","0.78000","$3.12","10754","4 Weeks","CONN HEADER FEM 12POS.1"" SGL TIN","RoHS Compliant","Lead free","REACH Unaffected"
"PPTC042LFBN-RC","Sullins Connector Solutions","S7072-ND","","","Tray","Active","1","0.67000","$0.67","5109","4 Weeks","CONN HEADER FMALE 8PS .1"" DL TIN","RoHS Compliant","Lead free","REACH Unaffected"
